:START_ID,:END_ID,:TYPE,ratio,rule_type,description
sthapati_2,sthapaka,IS_A,,HIERARCHY,"The sthapati (architect) is the chief of the four classes of builders (sthāpaka). They must be well-versed in all sciences, skilled in establishing buildings, and possess numerous positive personal qualities."
sutragrahin,sthapaka,IS_A,,HIERARCHY,"The sūtragrāhin (draftsman) is one of the four classes of builders (sthāpaka), often the son or disciple of the sthapati. They are skilled in measuring and marking proportions using a rope (sūtra)."
vardhaki,sthapaka,IS_A,,HIERARCHY,The vardhaki (builder/carpenter) is one of the four classes of builders (sthāpaka).
taksaka_2,sthapaka,IS_A,,HIERARCHY,"The takṣaka (cutter/sculptor) is one of the four classes of builders (sthāpaka), whose function is to cut materials like stone, wood, and bricks."
vardhaki,mason,IS_A,,DEFINITION,The Vardhaki is defined as the virtuous and capable mason who assembles and erects the pieces cut by the Taksaka.
vardhaki,architectural_tetrad,PART_OF,,HIERARCHY,The Vardhaki is a member of the architectural team (tetrad) and works under the orders of the Stutragrahin.
sthapati_2,architectural_tetrad,PART_OF,,HIERARCHY,"The Sthapati (architect) is the leader of the architectural tetrad, a team of four essential artisans."
sutragrahin,architectural_tetrad,PART_OF,,HIERARCHY,The Stutragrahin is a member of the architectural tetrad led by the Sthapati.
taksaka_2,architectural_tetrad,PART_OF,,HIERARCHY,The Taksaka (cutter/carpenter) is a member of the architectural tetrad led by the Sthapati.
gnomon,surveying_instrument,IS_A,,DEFINITION,A gnomon is a surveying instrument used to determine the cardinal points by observing its shadow.
gnomon,center_of_levelled_ground,LOCATED_AT,,SPATIAL,"For surveying, the gnomon must be set up in the center of a levelled square area on the chosen site."
gnomon_best,gnomon,IS_A,,MEASUREMENT,"The best class of gnomon has a length of one cubit, a top diameter of one aṅgula (digit), and a base diameter of five aṅgulas."
gnomon_medium,gnomon,IS_A,,MEASUREMENT,"The medium class of gnomon has a length of eighteen aṅgulas (digits), with diameters proportionate to its length."
gnomon_small,gnomon,IS_A,,MEASUREMENT,"The small class of gnomon has a length of twelve or nine aṅgulas (digits), with diameters proportionate to its length."
gnomon_base_diameter,gnomon_top_diameter,HAS_DIMENSION_RATIO,5.0,MEASUREMENT,"For the best gnomon, the base diameter (5 aṅgulas) is five times the top diameter (1 aṅgula)."
ivory,prescribed_gnomon_material,IS_A,,DEFINITION,Ivory is a prescribed material for constructing a gnomon.
sandalwood,prescribed_gnomon_material,IS_A,,DEFINITION,Sandalwood is a prescribed material for constructing a gnomon.
khadira_wood,prescribed_gnomon_material,IS_A,,DEFINITION,Wood from the Khadira tree is a prescribed material for constructing a gnomon.
kadara_wood,prescribed_gnomon_material,IS_A,,DEFINITION,Wood from the Kadara tree is a prescribed material for constructing a gnomon.
sami_wood,prescribed_gnomon_material,IS_A,,DEFINITION,Wood from the Sami tree is a prescribed material for constructing a gnomon.
saka_wood,prescribed_gnomon_material,IS_A,,DEFINITION,Wood from the Saka tree is a prescribed material for constructing a gnomon.
tinduka_wood,prescribed_gnomon_material,IS_A,,DEFINITION,Wood from the Tinduka tree is a prescribed material for constructing a gnomon.
surveying_circle_diameter,gnomon_length,HAS_DIMENSION_RATIO,2.0,MEASUREMENT,"A circle must be drawn with the gnomon at its center, and the circle's diameter must be exactly twice the length of the gnomon."
east_west_line,line_connecting_shadow_points,IS_A,,DEFINITION,The east-west directional line is established by connecting the two points on the surveying circle where the gnomon's shadow falls in the morning and evening.
north_south_line,perpendicular_bisector_of_east_west_line,IS_A,,DEFINITION,"The north-south axis is the line that bisects the east-west line perpendicularly, derived using a method compared to drawing a fish shape (matsya)."
apacchaya,conditional_astronomical_phenomenon,IS_A,,DEFINITION,Apacchāyā is a conditional astronomical phenomenon of shadow deviation which does not occur when the sun is in the zodiac signs of Taurus or Virgo.
apacchaya,akṣa_4,LOCATED_AT,,MEASUREMENT,"Apacchāyā is the required adjustment, measured in digits (aṅgula), for the east-west axis (akṣa). Its value, ranging from 0 to 8 digits, is determined by the solar month (zodiac sign) and is applied to the gnomon's shadow to establish the true east-west line."
rajju_3,angula_2,HAS_DIMENSION_RATIO,1.0,MEASUREMENT,A ritual rope (rajju) should have a uniform thickness of one digit (aṅgula) at most.
sankhu_3,angula_2,HAS_DIMENSION_RATIO,,MEASUREMENT,The length of a marking stake (śaṅku) must be between eleven and twenty-one digits (aṅgula).
pramanasutra,sutra_2,IS_A,,HIERARCHY,"The pramāṇa cord is a type of cord (sūtra) used to establish the primary, prescribed dimensions of an intended construction."
paryankasutra,sutra_2,IS_A,,HIERARCHY,The paryanta cord is a type of cord (sūtra) that delineates the outer boundary of a construction site.
vinyasasutra,sutra_2,IS_A,,HIERARCHY,"Vinyāsa cords are a class of 'determinating' cords (sūtra) used for specific placements, such as foundation deposits, deity positions, and drawing diagrams."
paryankasutra,pramanasutra,LOCATED_AT,,SPATIAL,The paryanta cord is located around the outside of the area defined by the pramāṇa cord.
garbha_3,grha_5,LOCATED_AT,,SPATIAL,"For a house (gṛha), the foundation deposit (garbha) is placed in the southern part of the site, and the first cord is cast in this direction."
trisutra,brahmasthana,LOCATED_AT,,SPATIAL,The trisūtra is the cord that originates from the central square of Brahma (Brahmasthāna) and extends towards the east.
dhanasutra,brahmasthana,LOCATED_AT,,SPATIAL,The dhanasūtra is the cord that originates from the central square of Brahma (Brahmasthāna) and extends towards the west.
dhanyasutra,brahmasthana,LOCATED_AT,,SPATIAL,The dhānyasūtra is the cord that originates from the central square of Brahma (Brahmasthāna) and extends towards the south.
sukhasutra,brahmasthana,LOCATED_AT,,SPATIAL,The sukhasūtra is the cord that originates from the central square of Brahma (Brahmasthāna) and extends towards the north.
pramana,pramanasutra,SYNONYM_OF,,DEFINITION,"The term 'pramāṇa' refers to the pramāṇa cord, which is used to establish the dimensions of a pavilion (sukha-ālaya)."
sankhu_3,mandapa_6,LOCATED_AT,,SPATIAL,"To ensure solidity, stakes (śaṅku) are to be driven into the ground all around a central pavilion (maṇḍapa) at a distance of one, two, or three cubits."
sakala_3,VastuPurushaMandala,IS_A,,HIERARCHY,"The Sakala is a type of Vastu Purusha Mandala, the foundational grid for architectural design."
sakala_3,pada_5,CONSISTS_OF,,MEASUREMENT,The Sakala diagram is composed of a single square (Pada).
pecaka,VastuPurushaMandala,IS_A,,HIERARCHY,The Pecaka is a type of Vastu Purusha Mandala.
pecaka,pada_5,CONSISTS_OF,,MEASUREMENT,The Pecaka diagram is composed of four squares (Pada).
pīṭha_6,VastuPurushaMandala,IS_A,,HIERARCHY,The Pīṭha is a type of Vastu Purusha Mandala.
pīṭha_6,pada_5,CONSISTS_OF,,MEASUREMENT,The Pīṭha diagram is composed of nine squares (Pada).
mahapitha,VastuPurushaMandala,IS_A,,HIERARCHY,The Mahāpīṭha is a type of Vastu Purusha Mandala.
mahapitha,pada_5,CONSISTS_OF,,MEASUREMENT,The Mahāpīṭha diagram is composed of sixteen squares (Pada).
upapitha_3,pada_5,CONSISTS_OF,,MEASUREMENT,The Upapīṭha diagram is composed of twenty-five squares (Pada).
ugrapīṭha,pada_5,CONSISTS_OF,,MEASUREMENT,The Ugrapīṭha diagram is composed of thirty-six squares (Pada).
sthandila_2,pada_5,CONSISTS_OF,,MEASUREMENT,The Sthaṇḍila diagram is composed of forty-nine squares (Pada).
manduka,pada_5,CONSISTS_OF,,MEASUREMENT,The Maṇḍūka diagram is composed of sixty-four squares (Pada).
paramaśāyika,pada_5,CONSISTS_OF,,MEASUREMENT,The Paramaśāyika diagram is composed of eighty-one squares (Pada).
asana_4,pada_5,CONSISTS_OF,,MEASUREMENT,The Āsana diagram is composed of one hundred squares (Pada).
sthaniya_2,pada_5,CONSISTS_OF,,MEASUREMENT,The Sthānīya diagram is composed of one hundred and twenty-one squares (Pada).
desiya,pada_5,CONSISTS_OF,,MEASUREMENT,The Deśīya diagram is composed of one hundred and forty-four squares (Pada).
ubhayacandita,pada_5,CONSISTS_OF,,MEASUREMENT,The Ubhayacaṇḍita diagram is composed of one hundred and sixty-nine squares (Pada).
bhadramahasana,pada_5,CONSISTS_OF,,MEASUREMENT,The Bhadramahāsana diagram is composed of one hundred and ninety-six squares (Pada).
padmagarbha,pada_5,CONSISTS_OF,,MEASUREMENT,The Padmagarbha diagram is composed of two hundred and twenty-five squares (Pada).
triyuta,pada_5,CONSISTS_OF,,MEASUREMENT,The Triyuta diagram is composed of two hundred and fifty-six squares (Pada).
vratabhoga,pada_5,CONSISTS_OF,,MEASUREMENT,The Vratabhoga diagram is composed of two hundred and eighty-nine squares (Pada).
karnastaka,pada_5,CONSISTS_OF,,MEASUREMENT,The Karṇāṣṭaka diagram is composed of three hundred and twenty-four squares (Pada).
ganita,pada_5,CONSISTS_OF,,MEASUREMENT,The Gaṇita diagram is composed of three hundred and sixty-one squares (Pada).
suryavisala,pada_5,CONSISTS_OF,,MEASUREMENT,The Sūryaviśālaka diagram is composed of four hundred squares (Pada).
susamhita,pada_5,CONSISTS_OF,,MEASUREMENT,The Susaṃhita diagram is composed of four hundred and forty-one squares (Pada).
supratikanta,pada_5,CONSISTS_OF,,MEASUREMENT,The Supratikānta diagram is composed of four hundred and eighty-four squares (Pada).
visala_2,pada_5,CONSISTS_OF,,MEASUREMENT,The Viśāla diagram is composed of five hundred and twenty-nine squares (Pada).
vipragarbha,pada_5,CONSISTS_OF,,MEASUREMENT,The Vipragarbha diagram is composed of five hundred and seventy-six squares (Pada).
visvesa,pada_5,CONSISTS_OF,,MEASUREMENT,The Viśveśa diagram is composed of six hundred and twenty-five squares (Pada).
vipulabhoga,pada_5,CONSISTS_OF,,MEASUREMENT,The Vipulabhoga diagram is composed of six hundred and seventy-six squares (Pada).
vipratikanta_2,pada_5,CONSISTS_OF,,MEASUREMENT,The Vipratikānta diagram is composed of seven hundred and twenty-nine squares (Pada).
visalaksa,pada_5,CONSISTS_OF,,MEASUREMENT,The Viśālākṣa diagram is composed of seven hundred and eighty-four squares (Pada).
viprabhaktika,pada_5,CONSISTS_OF,,MEASUREMENT,The Viprabhaktika diagram is composed of eight hundred and forty-one squares (Pada).
viśveśasādra,pada_5,CONSISTS_OF,,MEASUREMENT,The Viśveśasādra diagram is composed of nine hundred squares (Pada).
īśvarakānta,pada_5,CONSISTS_OF,,MEASUREMENT,The Īśvarakānta diagram is composed of nine hundred and sixty-one squares (Pada).
indrakanta_2,pada_5,CONSISTS_OF,,MEASUREMENT,The Indrakānta diagram is composed of one thousand and twenty-four squares (Pada).
sakala_3,Yati,IS_SUITABLE_FOR,,DEFINITION,The Sakala diagram is considered favourable for use by ascetics (Yati).
sakala_3,AgniYajna,IS_SUITABLE_FOR,,DEFINITION,"The Sakala diagram is suitable for fire sacrifices, particularly those consuming a large amount of darbha grass."
sakala_3,PitṛYajña,IS_SUITABLE_FOR,,DEFINITION,The Sakala diagram is suitable for sacrifices dedicated to the ancestors (Pitṛ).
sakala_3,DevaPūjā,IS_SUITABLE_FOR,,DEFINITION,The Sakala diagram is suitable for the worship of the immortals (Devas).
sakala_3,GuruPūjā,IS_SUITABLE_FOR,,DEFINITION,The Sakala diagram is suitable for the worship of the guru.
BhanuRekha,sakala_3,PART_OF,,HIERARCHY,Bhanu is one of the four lines that border the Sakala diagram.
ArkinRekha,sakala_3,PART_OF,,HIERARCHY,Arkin is one of the four lines that border the Sakala diagram.
ToyaRekha,sakala_3,PART_OF,,HIERARCHY,Toya is one of the four lines that border the Sakala diagram.
ŚaśinRekhā,sakala_3,PART_OF,,HIERARCHY,Śaśin is one of the four lines that border the Sakala diagram.
paiśaca_2,pecaka,LOCATED_IN,,SPATIAL,The deity Paiśāca is to be honoured in one of the four squares of the Pecaka diagram.
bhuta,pecaka,LOCATED_IN,,SPATIAL,The deity Bhūta is to be honoured in one of the four squares of the Pecaka diagram.
visagraha,pecaka,LOCATED_IN,,SPATIAL,The deity Viṣagraha is to be honoured in one of the four squares of the Pecaka diagram.
Rakṣaka,pecaka,LOCATED_IN,,SPATIAL,The deity Rakṣaka is to be honoured in one of the four squares of the Pecaka diagram.
siva_7,pecaka,IS_INSTALLED_IN,,SPATIAL,The symbol or image of Śiva is to be installed within the Pecaka diagram.
veda_3,pīṭha_6,LOCATED_AT,,SPATIAL,The four Vedas are located at the four cardinal points of the Pīṭha diagram.
Ap,pīṭha_6,LOCATED_AT,,SPATIAL,"The element Water (Ap) is located at an intermediate point, starting from the north-east, of the Pīṭha diagram."
Agni_4,pīṭha_6,LOCATED_AT,,SPATIAL,The element Fire (Agni) is located at an intermediate point of the Pīṭha diagram.
Ākāśa,pīṭha_6,LOCATED_AT,,SPATIAL,The element Ether (Ākāśa) is located at an intermediate point of the Pīṭha diagram.
vayu_2,pīṭha_6,LOCATED_AT,,SPATIAL,The element Wind (Vāyu) is located at an intermediate point of the Pīṭha diagram.
prthivi,pīṭha_6,LOCATED_AT,,SPATIAL,The element Earth (Pṛthvī) is located at the center of the Pīṭha diagram.
brahma_zone,mahapitha,LOCATED_AT,,SPATIAL,Brahmā is located at the center of the Mahāpīṭha diagram.
Īśa,mahapitha,LOCATED_AT,,SPATIAL,Īśa is a peripheral divinity in the Mahāpīṭha diagram.
aditi,mahapitha,LOCATED_AT,,SPATIAL,Aditi is a peripheral divinity in the Mahāpīṭha diagram.
Āpavatsa,mahapitha,LOCATED_AT,,SPATIAL,Apavatsa is an interior divinity in the Mahāpīṭha diagram.
manduka,SamaPadaMaṇḍala,IS_A,,HIERARCHY,The Maṇḍūka (64-square) diagram is classified as an even-squared diagram (Sama Pada Maṇḍala).
paramaśāyika,ViṣamaPadaMaṇḍala,IS_A,,HIERARCHY,The Paramaśāyika (81-square) diagram is classified as an odd-squared diagram (Viṣama Pada Maṇḍala).
manduka,SarvaNirmāṇa,IS_SUITABLE_FOR,,DEFINITION,The Maṇḍūka diagram is recommended for use in all types of constructions.
Deva,manduka,LOCATED_AT,,SPATIAL,"In the Maṇḍūka (64-square) diagram, gods are installed on the periphery and in the center."
Deva,paramaśāyika,LOCATED_AT,,SPATIAL,"In the Paramaśāyika (81-square) diagram, gods are installed on the periphery and in the center."
Īśa,VastuPurushaMandala,LOCATED_AT,,SPATIAL,"In the standard arrangement of deities, Īśa is located in the north-east corner of the Vastu Purusha Mandala."
Satyaka,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Satyaka is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
bhrsa,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Bhṛśa is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
antariksa,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Antarikṣa is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Agni_4,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Agni is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
pusan_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Pūṣan is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Vitatha,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Vitatha is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Raksasa,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Rākṣasa is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
yama_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Yama is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
gandharva_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Gandharva is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Bhṛṅgarāja,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Bhṛṅgarāja is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
mrsa,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Mṛṣa is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
pitṛ_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,The Pitṛ deities are among the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
dauvarika,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Dauvārika is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
sugriva,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Sugrīva is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
puspadanta,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Puṣpadanta is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Jalādhipa,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Jalādhipa is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
asura,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Asura is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
sosa,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Śoṣa is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
roga,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Roga is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
vayu_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Vāyu is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Naga_3,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Nāga is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
mukhya,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Mukhya is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Bhallāṭaka,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Bhallāṭaka is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
soma_3,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Soma is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
mrga_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Mṛga is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
aditi,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Aditi is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
uditi_2,BāhyaMaṇḍala,LOCATED_AT,,SPATIAL,Uditi is one of the thirty-two exterior divinities positioned in the outer ring (Bāhya Maṇḍala) of the Vāstu Puruṣa Maṇḍala.
Āpa_2,ĪśānaKoṇa,LOCATED_AT,,SPATIAL,The deity Āpa is located inside the mandala at the north-east corner (Īśāna Koṇa).
Āpavatsa,ĪśānaKoṇa,LOCATED_AT,,SPATIAL,The deity Āpavatsa is located inside the mandala at the north-east corner (Īśāna Koṇa).
savitr,ĀgneyaKoṇa,LOCATED_AT,,SPATIAL,The deity Sāvitra is located inside the mandala at the south-east corner (Āgneya Koṇa).
indra_4,NairṛtyaKoṇa,LOCATED_AT,,SPATIAL,The deity Indra is located inside the mandala at the south-west corner (Nairṛtya Koṇa).
Jaya,NairṛtyaKoṇa,LOCATED_AT,,SPATIAL,The deity Jaya is located inside the mandala at the south-west corner (Nairṛtya Koṇa).
Rudra_3,VāyavyaKoṇa,LOCATED_AT,,SPATIAL,The deity Rudra is located inside the mandala at the north-west corner (Vāyavya Koṇa).
Rudrajaya,VāyavyaKoṇa,LOCATED_AT,,SPATIAL,The deity Rudrajaya is located inside the mandala at the north-west corner (Vāyavya Koṇa).
brahma_zone,brahmasthana,LOCATED_AT,,SPATIAL,The deity Brahmā is located in the center (Brahmasthāna) of the Vāstu Puruṣa Maṇḍala.
brahma_zone,sambhu_2,SYNONYM_OF,,DEFINITION,"The deity Brahmā, located in the center of the mandala, is also identified as Śambhu."
aryaman,antarmandala,LOCATED_AT,,SPATIAL,"Āryaman is one of four deities located in the inner ring (Antar Maṇḍala), adjacent to and facing the central Brahmā."
vivasvant_2,antarmandala,LOCATED_AT,,SPATIAL,"Vivasvat is one of four deities located in the inner ring (Antar Maṇḍala), adjacent to and facing the central Brahmā."
mitra_2,antarmandala,LOCATED_AT,,SPATIAL,"Mitra is one of four deities located in the inner ring (Antar Maṇḍala), adjacent to and facing the central Brahmā."
prthividhara,antarmandala,LOCATED_AT,,SPATIAL,"Pṛthivīdhara is one of four deities located in the inner ring (Antar Maṇḍala), adjacent to and facing the central Brahmā."
caraki,BāhyaĪśānaKoṇa,LOCATED_AT,,SPATIAL,The female deity Carakī is located on the outside of the north-east corner of the Vāstu Puruṣa Maṇḍala.
Vidari,BāhyaĀgneyaKoṇa,LOCATED_AT,,SPATIAL,"The female deity Vidārī is located on the outside of the south-east corner of the Vāstu Puruṣa Maṇḍala, following a clockwise sequence from the north-east."
putana_2,BāhyaNairṛtyaKoṇa,LOCATED_AT,,SPATIAL,"The female deity Pūtanā is located on the outside of the south-west corner of the Vāstu Puruṣa Maṇḍala, following a clockwise sequence from the north-east."
Paparaksasi,BāhyaVāyavyaKoṇa,LOCATED_AT,,SPATIAL,"The female deity Pāparākṣasī is located on the outside of the north-west corner of the Vāstu Puruṣa Maṇḍala, following a clockwise sequence from the north-east."
brahmasthana,MaṇḍūkaMaṇḍala,PART_OF,,MEASUREMENT,"In the Maṇḍūka Maṇḍala (64-square diagram), the central area for Brahmā (Brahmasthāna) is composed of four squares (padas)."
aryaman,MaṇḍūkaMaṇḍala_PūrvaAntarPada,LOCATED_AT,,SPATIAL,"In the Maṇḍūka Maṇḍala (64-square diagram), the deity Āryaman occupies a three-square position in the eastern inner ring."
Devatā,brahma_zone,HAS_ORIENTATION_TOWARDS,,SPATIAL,"A general principle states that all immortal deities installed on the mandala should be oriented to face the central deity, Brahmā."
DevatāSthāpana,Pradakṣiṇa,HAS_SEQUENCE,,SPATIAL,The installation of deities (Devatā Sthāpana) on the Vāstu Maṇḍala must follow a clockwise (Pradakṣiṇa) sequence.
aryaman,vastupurusa,PART_OF,,HIERARCHY,"The deity Āryaman corresponds to the head (Śiras) of the Vāstupuruṣa, who lies with his head to the east."
savitr,vastupurusa,PART_OF,,HIERARCHY,The deity Sāvitra corresponds to the right arm (Dakṣiṇa Bāhu) of the Vāstupuruṣa.
Āpa_2,vastupurusa,PART_OF,,HIERARCHY,The deity Āpa corresponds to the left arm (Vāma Bāhu) of the Vāstupuruṣa.
Āpavatsa,vastupurusa,PART_OF,,HIERARCHY,The deity Āpavatsa corresponds to the left hand (Vāma Hasta) of the Vāstupuruṣa.
vivasvant_2,vastupurusa,PART_OF,,HIERARCHY,The deity Vivasvat corresponds to the right side (Dakṣiṇa Pārśva) of the Vāstupuruṣa.
marma,brahmasthana,LOCATED_AT,,SPATIAL,The vulnerable points (Marma) of the Vāstupuruṣa are located in the center of the site (Brahmasthāna).
hṛdaya,brahmasthana,LOCATED_AT,,SPATIAL,The heart (Hṛdaya) of the Vāstupuruṣa is located in the center of the site (Brahmasthāna).
hṛdaya,brahma_zone,SYNONYM_OF,,DEFINITION,"The heart of the Vāstupuruṣa is conceptually identified with the central deity, Brahmā."
GṛhaAṅga,Avedhyasthāna,LOCATED_AT,,SPATIAL,"A core principle of Vāstu is that the structural parts of a house (Gṛha Aṅga) must be placed at non-vulnerable, non-pierceable locations (Avedhyasthāna) to avoid tormenting the limbs of the Vāstupuruṣa."
adbhuta,vistara_2,HAS_DIMENSION_RATIO,1.75,MEASUREMENT,"For a building of the Adbhuta category, its height is defined as seven-fourths (1.75 times) its width."
bhavana_2,vistara_2,HAS_DIMENSION_RATIO,2.0,MEASUREMENT,"As a general rule, the height of a building (Bhavana) can be double (2.0 times) its width."
